,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,Positive_control_MDA,Negative_control1,Negative_control2,Negative_control3,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
vOTU_4187,82,0,2,4,1,0,3,4,31,0,531,192,0,0,1,3,0,0,73,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,100,0,129,47,0,0,10,15,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_4263,0,0,0,2,2,1,1,2,0,0,498,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,124,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_4348,75,0,0,0,0,0,3,0,58,2,385,157,0,0,3,13,0,0,69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,100,0,43,35,0,1,14,31,0,0,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_4367,0,0,0,0,0,0,4,0,158,0,2,1,2,0,2,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,0,1,0,2,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_4435,15,0,20,53,26,45,65,37,24,35,5,13134,748,0,1,45,1,12,24,1167,0,6,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,4,5,0,19,0,1,3,14,1,318,3,14,0,12,587,217,1,3,242,1,36,183,353,2,475,0,7,0,0,0,0,0,0,0,0,18,0,60,0,9,0,0,0,4,0,0,0
vOTU_4548,0,0,0,0,0,0,0,0,35,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_4633,0,0,0,0,0,0,0,0,82,0,1,0,2,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,15,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_4737,0,16,57,0,24,1,10,3,1929,10,0,10,2,0,1636,17,396,7,15,242,0,0,0,0,0,0,26,29,11,92,61,0,110,20,7,0,0,0,20,0,7,29,25,20,68,13,186,36,16144,12,22,47,14,1,2063,98,2,13,112,21,0,0,0,14,0,0,9,0,0,0,0,0,57,0,0,0,9,0,0,0,0,12,61,20
vOTU_4845,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_4852,83,0,3,2,29,6,194,2,1,0,1,576,309,9,2,137,3,11,646,1592,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,10,4,7,67,2,3291,2,9,7,5,25,1262,3,6,970,2,18,504,500,1,55,0,51,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,4,4
vOTU_4927,35,0,1,0,1,2,8,5,31,1,407,118,4,0,6,31,2,0,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,72,1,62,34,0,1,17,63,0,0,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_4987,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_5074,0,0,0,0,0,0,0,0,1,2,56,0,5,11,9,6,3,4,6291,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,0,14,0,0,0,0,0,0,2,3,0,39,3,5,5,3,10,9,5,4436,3,2,0,0,37,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,4,0
vOTU_5132,1,0,0,0,0,1,5,0,129,0,0,7,5,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,364,0,0,0,0,0,41,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_5144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,408,0,23,0,0,0,0,0,0,0,0,0,0,16,13,0,667,0,0,21
vOTU_5175,6,0,0,0,0,0,0,0,5,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_5284,1,0,0,0,0,0,1,0,4,0,7,12,0,0,0,9,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,2,1,0,0,1,2,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_5356,0,0,0,0,0,0,44,0,0,0,5,0,0,0,0,6,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,2,0,1,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
vOTU_5408,998,1,4,23,8,6870,24,11,12,14,3,142,74,1,0,12,0,5,88,162,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,1,0,1,63,244,2,68,0,1,7,161,0,4,33,1,19,83,33,1,116,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,9,27,4,7,0,0
vOTU_5421,0,0,0,0,0,0,1,0,5,0,5,0,3,0,4,3,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,2,0,0,176,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_5507,0,0,0,0,0,0,0,0,1,1,104,2,0,0,1,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,6,15,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_5528,0,0,2,5,0,0,0,1,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vOTU_5571,3,0,0,0,0,0,0,0,3,0,10,9,0,0,2,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,2,3,0,0,1,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
